Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
 Yankuang Energy,China,CHN,Coal Mining,No,large,CNE1000004Q8;CNE000000WV6,6109893;6119289;BP3R5S5,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
 Yankuang Energy,China,CHN,Coal Mining,No,large,CNE1000004Q8;CNE000000WV6,6109893;6119289;BP3R5S5,01/09/2022,15/04/2022,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
 Yankuang Energy,China,CHN,Coal Mining,No,large,CNE1000004Q8;CNE000000WV6,6109893;6119289;BP3R5S5,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3M,United States of America,USA,Other Industrials,No,large,US88579Y1010,2595708,01/11/2023,17/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No
A2A,Italy,ITA,Electricity Utilities,No,medium,IT0001233417,5499131,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No
ABB,Switzerland,CHE,Other Industrials,No,large,CH0012221716,7108899,01/11/2023,27/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,No,Yes,No
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/11/2023,17/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,Yes,No
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/09/2022,15/04/2022,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,Yes,No
ACC,India,IND,Cement,No,medium,INE012A01025,6155915,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,Yes,No
ACS Group,Spain,ESP,Other Industrials,No,medium,ES0167050915,B01FLQ6,01/11/2023,11/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,No,No,No
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/09/2022,23/04/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,No,Yes,No,No,Yes,No,No
ADBRI,Australia,AUS,Cement,Yes,medium,AU000000ABC7,6006886,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not applicable,No,Yes,No,No,Yes,No,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No
AES,United States of America,USA,Electricity Utilities,Yes,medium,US00130H1059,2002479,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
AGC,Japan,JPN,Other Industrials,No,large,JP3112000009,6055208,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2023,21/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/09/2022,06/05/2022,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,AU000000AGL7;AU000000AGK9,BSS7GP5;BQ6Q917,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,Yes,Yes,No
AKR Corporindo Tbk,Indonesia,IDN,Oil & Gas Distribution,No,small,ID1000106701,#N/A,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
AKR Corporindo Tbk,Indonesia,IDN,Oil & Gas Distribution,No,small,ID1000106701,#N/A,01/09/2022,15/04/2022,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/09/2022,30/03/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,No,No
ANTAM,Indonesia,IDN,Diversified Mining,Yes,small,ID1000106602,6053859,01/11/2023,17/04/2023,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ANTAM,Indonesia,IDN,Diversified Mining,Yes,small,ID1000106602,6053859,01/09/2022,15/04/2022,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ANTAM,Indonesia,IDN,Diversified Mining,Yes,small,ID1000106602,6053859,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/11/2023,14/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/09/2022,15/04/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,DK0010244425;DK0010244508,4253059;4253048,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,No,No
APA  Group,Australia,AUS,Oil & Gas Distribution,No,large,AU000000APA1,6247306,01/11/2023,10/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No
APA  Group,Australia,AUS,Oil & Gas Distribution,No,large,AU000000APA1,6247306,01/09/2022,02/03/2022,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/11/2023,05/05/2023,2,down,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/09/2022,07/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
ASE Group,Taiwan,TWN,Services,No,large,TW0003711008,BFXZDY1,01/11/2023,19/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
AT&T,United States of America,USA,Services,No,large,US00206R1023,2831811,01/11/2023,26/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No
AbbVie,United States of America,USA,Consumer Goods,No,large,US00287Y1091,B92SR70,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No
Abbott Laboratories,United States of America,USA,Consumer Goods,No,large,US0028241000,2002305,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,No,No
Aboitiz Power,Philippines,PHL,Electricity Utilities,No,medium,PHY0005M1090,B1Z9Q99,01/11/2023,26/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Not Applicable,No,No,No,No,No,No,No
Accenture,United States of America,USA,Services,No,large,IE00B4BNMY34,B4BNMY3,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/11/2023,14/04/2023,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,No,Yes,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2022,06/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No
Adani Enterprises,India,IND,Coal Mining,No,medium,INE423A01024,B01VRK0,01/11/2023,02/03/2023,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
Adani Enterprises,India,IND,Coal Mining,No,medium,INE423A01024,B01VRK0,01/09/2022,05/05/2022,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
Adani Enterprises,India,IND,Coal Mining,No,medium,INE423A01024,B01VRK0,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Adani Transmissions,India,IND,Electricity Utilities,No,large,INE931S01010,BYPCLL6,01/11/2023,19/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/11/2023,17/04/2023,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/09/2022,15/04/2022,2,up,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Aeon,Japan,JPN,Consumer Goods,No,large,JP3388200002,6480048,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/11/2023,13/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/09/2022,06/05/2022,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
Agilent Technologies,United States of America,USA,Other Industrials,No,large,US00846U1016,2520153,01/11/2023,03/03/2023,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No
Agilent Technologies,United States of America,USA,Other Industrials,No,large,US00846U1016,2520153,01/09/2022,15/04/2022,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,No,No
Ahold Delhaize,Netherlands,NLD,Services,No,large,NL0011794037,BD0Q398,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
Air Arabia,United Arab Emirates,ARE,Airlines,No,medium,AEA003001012,B23DL40,01/11/2023,17/04/2023,1,up,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No
Air Arabia,United Arab Emirates,ARE,Airlines,No,medium,AEA003001012,B23DL40,01/09/2022,15/04/2022,0,new,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/11/2023,05/05/2023,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,Yes,Yes,Yes,No
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/09/2022,07/05/2022,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,Yes,No,Yes,No
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,Yes,No
Air China,China,CHN,Airlines,No,large,CNE1000001S0;CNE000001NN0,B04KNF1;B1B8WM5;BP3R4G6,01/11/2023,17/04/2023,2,up,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No
Air China,China,CHN,Airlines,No,large,CNE1000001S0;CNE000001NN0,B04KNF1;B1B8WM5;BP3R4G6,01/09/2022,07/05/2022,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No,No,No
Air China,China,CHN,Airlines,No,large,CNE1000001S0;CNE000001NN0,B04KNF1;B1B8WM5;BP3R4G6,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No,No,No
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/11/2023,02/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,No,No,No
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/09/2022,15/04/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,Yes,No
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/11/2023,19/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/09/2022,15/04/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No
Air New Zealand,New Zealand,NZL,Airlines,No,medium,NZAIRE0001S2,6426484,01/11/2023,02/03/2023,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,No,Yes,No,No
Air New Zealand,New Zealand,NZL,Airlines,No,medium,NZAIRE0001S2,6426484,01/09/2022,06/05/2022,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/11/2023,07/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No
Air Water,Japan,JPN,Chemicals,No,medium,JP3160670000,6441465,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,Yes,No,No
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/11/2023,07/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/09/2022,07/05/2022,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No
Aisin,Japan,JPN,Other Industrials,No,large,JP3102000001,6010702,01/11/2023,30/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Ajinomoto,Japan,JPN,Food Producers,No,large,JP3119600009,6010906,01/11/2023,07/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Ajinomoto,Japan,JPN,Food Producers,No,large,JP3119600009,6010906,01/09/2022,01/04/2022,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No
Aker BP,Norway,NOR,Oil & Gas,No,large,NO0010345853,B1L95G3,01/11/2023,05/05/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Akzo Nobel,Netherlands,NLD,Chemicals,No,large,NL0013267909,BJ2KSG2,01/11/2023,04/05/2023,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,No,No,No,Yes,No
Akzo Nobel,Netherlands,NLD,Chemicals,No,large,NL0013267909,BJ2KSG2,01/09/2022,09/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No
Akzo Nobel,Netherlands,NLD,Chemicals,No,large,NL0013267909,BJ2KSG2,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,No,No,No,No,No
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/11/2023,02/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,No,Yes,No,No,No,No,No
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/09/2022,15/04/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,No,Yes,No,No,No,No,No
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,No,Yes,No,No,No,No,No
Albemarle,United States of America,USA,Chemicals,No,medium,US0126531013,2046853,01/11/2023,16/02/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,Yes,No,No,No
Albemarle,United States of America,USA,Chemicals,No,medium,US0126531013,2046853,01/09/2022,22/04/2022,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,No,Yes,Yes,No,No,No,No
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/09/2022,07/05/2022,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,No,No
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2023,17/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,No,No
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/09/2022,06/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,No,No,No
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,Yes,No,No
Alibaba,China,CHN,Services,No,large,US01609W1027,BP41ZD1,01/11/2023,07/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,No,No
Allegiant Travel,United States of America,USA,Airlines,No,small,US01748X1028,B15M2C3,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,No,Yes,Yes,Yes,Yes,Yes,No
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/09/2022,08/05/2022,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No
